Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;3244168,48;50559439,36;-163350,91;258054,76;1110686,80;49140,78;663,80;1690,55;84,24;0,599915029;2,17714E-06;-6540,623999
EnEV'16;FB;EPS;Pellets;0,1;EnEV'16_FB_EPS_Pellets_0.1;531429,68;1670135,52;-195844,54;23662,69;141236,25;3926,59;88,14;1646,47;-28,31;0,000203357;4,71163E-06;-0,000825199
EnEV'16;FB;EPS;Pellets;0,05;EnEV'16_FB_EPS_Pellets_0.05;540670,37;1658328,13;-166033,95;24572,75;140237,74;2141,17;91,36;1634,83;-25,79;4,72004E-07;4,67832E-06;-0,000824607
EnEV'16;FB;Holz;Pellets;0,1;EnEV'16_FB_Holz_Pellets_0.1;647644,37;1670135,52;-206456,12;19955,38;141236,25;10249,13;139,22;1646,47;-22,00;0,000633571;4,71163E-06;-0,000867817
EnEV'16;FB;Holz;Pellets;0,05;EnEV'16_FB_Holz_Pellets_0.05;572782,20;1658328,13;-499538,99;-882,76;140237,74;4986,18;96,14;1634,83;-45,72;0,000190453;4,67832E-06;-0,000825435
EnEV'16;FB;HF MW;Pellets;0,1;EnEV'16_FB_HFMW_Pellets_0.1;728068,42;1670135,52;-747309,95;-11487,82;141236,25;7550,15;113,12;1646,47;-64,43;0,000190491;4,71163E-06;-0,0008265
EnEV'16;FB;HF MW;Pellets;0,05;EnEV'16_FB_HFMW_Pellets_0.05;633902,91;1658328,13;-211015,38;18898,03;140237,74;9624,91;133,18;1634,83;-24,21;0,000633502;4,67832E-06;-0,000867786
EnEV'16;2WSV;EPS;Pellets;0,1;EnEV'16_2WSV_EPS_Pellets_0.1;1078520,17;1607962,55;-362974,01;42236,54;135978,54;13848,81;188,79;1585,18;-32,89;0,001719468;7,65558E-07;-5745,516728
EnEV'16;2WSV;EPS;Pellets;0,05;EnEV'16_2WSV_EPS_Pellets_0.05;1078520,17;1513966,45;-362974,01;42236,54;128029,69;13848,81;188,79;452,01;-32,89;0,001719468;4,53623E-06;-5745,516728
EnEV'16;2WSV;Holz;Pellets;0,1;EnEV'16_2WSV_Holz_Pellets_0.1;1106125,16;1670135,52;-612270,86;24037,03;135978,54;15486,89;194,50;480,07;-49,21;1,1963E-05;7,65558E-07;-5745,516729
EnEV'16;2WSV;Holz;Pellets;0,05;EnEV'16_2WSV_Holz_Pellets_0.05;1106125,16;1658328,13;-612270,86;24037,03;128029,69;15486,89;194,50;452,01;-49,21;0,001710833;7,20806E-07;-5745,516729
