Variante;49140.78115;163350.9095;GWP_S;GWP_M;GWP_R;PENRT_S;PENRT_M;PENRT_R;;
Bestand;;;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;;
EnEv2016_FB_EPS_Pellets_0.1;;;250175.324;4707.874839;3926.593602;3826540.092;55671.18391;-195844.5395;;
EnEv2016_FB_EPS_Pellets_0.05;;;246244.7586;4674.59148;2141.168162;3704895.944;55277.6042;-166033.9529;;
EnEv2016_FB_Holz_Pellets_0.1;;;221619.6202;4707.874839;7550.153682;3168499.388;55671.18391;-747309.9491;;
EnEv2016_FB_Holz_Pellets_0.05;;;221642.5802;4674.59148;4362.467138;3165059.55;55277.6042;-504090.87;;
EnEv2016_FB_HFMW_Pellets_0.1;;;221685.5128;4707.874839;9625.421311;3168258.704;55671.18391;-211008.0023;;
EnEv2016_FB_HFMW_Pellets_0.05;;;221681.59;4674.59148;9624.910056;3165064.243;55277.6042;-211015.3847;;
EnEv2016_2WSV_EPS_Pellets_0.1;;;264818.6062;4532.618076;13225.09866;4238555.617;53598.7517;-367525.8924;;
EnEv2016_2WSV_EPS_Pellets_0.05;;;264818.6062;4267.65643;13225.09866;4213489.991;50465.54849;-367525.8924;;
EnEv2016_2WSV_Holz_Pellets_0.1;;;246619.0975;4532.618076;14863.1744;4266160.604;53598.7517;-616822.7417;;
EnEv2016_2WSV_Holz_Pellets_0.05;;;246619.0975;4267.65643;14863.1744;4241094.979;50465.54849;-616822.7417;;
EnEv2016_2WSV_HFMW_Pellets_0.1;;;259220.516;4532.618076;21451.04348;4361494.797;53598.7517;-424911.5861;;
EnEv2016_2WSV_HFMW_Pellets_0.05;;;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;;
EnEv2016_3WSV_EPS_Pellets_0.1;;;269360.1568;4277.534646;13195.18205;4273217.858;50582.35958;-367933.0589;;
EnEv2016_3WSV_EPS_Pellets_0.05;;;269360.1568;3966.207679;13195.18205;4243766.028;46900.8809;-367933.0589;;
EnEv2016_3WSV_Holz_Pellets_0.1;;;251160.6481;4232.741533;14833.2578;4296585.374;50052.67566;-617229.9082;;
EnEv2016_3WSV_Holz_Pellets_0.05;;;251160.6481;3966.207679;14833.2578;4271371.016;46900.8809;-617229.9082;;
EnEv2016_3WSV_HFMW_Pellets_0.1;;;3286920.252;4232.741533;21421.29883;4921813.084;50052.67566;-425316.2696;;
EnEv2016_3WSV_HFMW_Pellets_0.05;;;264423.7821;3966.207679;21421.29883;4374434.994;46900.8809;-425316.2696;;
EnEv2016_FB_EPS_WP_0.1;;;259403.005;23007.15504;29339.91449;6374058.996;304121.0927;-502324.1301;;
EnEv2016_FB_EPS_WP_0.05;;;255472.4396;23027.68065;38175.2898;6257734.035;304392.4114;-472513.5221;;
EnEv2016_FB_Holz_WP_0.1;;;208791.6911;23007.15504;44165.38833;6451244.493;304121.0927;-1315498.78;;
EnEv2016_FB_Holz_WP_0.05;;;222392.947;23027.68065;66184.08954;6331616.878;304392.4114;-1082826.076;;
EnEv2016_FB_HFMW_WP_0.1;;;250370.9165;23007.15504;44365.06454;6322700.642;304121.0927;-636032.3043;;
EnEv2016_FB_HFMW_WP_0.05;;;250489.6358;23027.68065;60254.57487;6326136.424;304392.4114;-646585.9497;;
EnEv2016_2WSV_EPS_WP_0.1;;;274046.2872;22269.60149;38638.41955;6724658.906;294371.7086;-674005.483;;
EnEv2016_2WSV_EPS_WP_0.05;;;272896.415;20944.33134;33004.65571;6405026.545;276853.5668;-674806.2816;;
